Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary,STATE
5/21/2018,5/21/2018,Nonexempt,"58,055.80",710
12/12/2005,12/12/2005,Nonexempt,"46,308.59",710
4/13/2019,4/13/2019,Nonexempt,"58,055.80",710
10/1/2012,10/1/2012,Nonexempt,24.59,710
8/6/2012,8/6/2012,Nonexempt,24.59,710
8/3/2019,8/3/2019,Nonexempt,"58,055.80",710
6/19/2021,6/19/2021,Exempt,"60,703.93",710
3/12/2001,7/8/2013,Nonexempt,24.53,710
10/31/2002,10/31/2002,Nonexempt,31.61,710
6/15/2024,6/15/2024,Nonexempt,"46,396.37",710
6/20/2023,6/20/2023,Nonexempt,"55,264.33",710
1/17/2023,1/17/2023,Nonexempt,"55,264.33",710
8/20/2018,10/7/2023,Nonexempt,21.6,710
2/6/2012,2/6/2012,Nonexempt,"72,513.50",710
10/6/2014,10/6/2014,Nonexempt,24.53,710
2/23/2009,1/15/2022,Exempt,"102,061.46",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
3/24/2008,3/24/2008,Nonexempt,"78,042.19",710
12/30/2023,12/30/2023,Nonexempt,21.6,710
3/26/2004,3/26/2004,Nonexempt,"83,992.99",710
1/7/2019,1/7/2019,Nonexempt,"58,055.80",710
9/14/2019,9/14/2019,Nonexempt,24.53,710
9/24/2007,8/18/2014,Nonexempt,"78,042.19",710
9/12/2011,9/12/2011,Nonexempt,"72,513.50",710
7/9/2012,7/9/2012,Nonexempt,"72,513.50",710
2/6/2012,2/6/2012,Nonexempt,"72,513.50",710
10/10/2016,10/15/2018,Nonexempt,24.53,710
3/24/2008,5/24/2019,Nonexempt,"89,467.94",710
3/28/2016,4/6/2024,Exempt,"75,453.57",710
3/23/2020,4/24/2023,Exempt,"54,601.58",710
4/25/2020,4/25/2020,Nonexempt,"58,055.80",710
7/8/1996,3/23/2016,Exempt,"66,226.33",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
11/27/2017,11/27/2017,Nonexempt,"61,082.57",710
3/25/2013,1/16/2021,Nonexempt,"75,356.22",710
9/3/2002,9/3/2002,Nonexempt,"83,992.99",710
2/6/1989,12/21/2012,Exempt,"139,637.03",710
3/26/2004,7/18/2020,Nonexempt,"93,941.96",710
11/14/2000,8/22/2011,Nonexempt,"81,944.08",710
1/16/1990,9/17/2007,Nonexempt,"103,632.94",710
11/26/2012,11/26/2012,Nonexempt,"72,513.50",710
8/2/2021,8/2/2021,Nonexempt,"58,055.80",710
1/23/2017,1/23/2017,Nonexempt,"61,082.57",710
7/20/2015,7/20/2015,Nonexempt,"67,375.55",710
6/5/2021,6/5/2021,Nonexempt,"58,055.80",710
6/5/2017,6/5/2017,Nonexempt,"61,082.57",710
1/23/2017,1/23/2017,Nonexempt,"61,082.57",710
1/31/2000,1/31/2000,Nonexempt,"88,192.69",710
9/30/2013,9/30/2013,Nonexempt,"70,744.49",710
4/6/2024,4/6/2024,Nonexempt,"53,942.20",710
9/29/2008,6/4/2022,Nonexempt,"87,285.80",710
6/14/1999,3/19/2022,Nonexempt,"101,105.30",710
8/15/2022,8/15/2022,Nonexempt,"56,639.48",710
11/7/2005,6/23/2016,Nonexempt,"87,285.80",710
1/24/2000,1/24/2013,Nonexempt,"96,289.81",710
10/23/2006,2/16/2019,Nonexempt,"101,105.30",710
2/6/1989,6/4/2018,Nonexempt,34.79,710
9/5/2000,4/13/2019,Nonexempt,"65,731.94",710
11/26/2012,11/26/2012,Nonexempt,"72,513.50",710
9/23/2004,9/23/2004,Nonexempt,"83,992.99",710
7/6/2009,7/6/2009,Nonexempt,"76,138.83",710
7/6/1998,8/19/2023,Exempt,"102,061.46",710
4/22/2023,4/22/2023,Nonexempt,"55,264.33",710
10/9/2000,8/19/2023,Exempt,"114,838.60",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
10/28/1996,8/3/2019,Exempt,"109,843.96",710
8/29/2020,8/29/2020,Nonexempt,"41,503.50",710
6/25/2018,6/25/2018,Nonexempt,"49,568.84",710
4/16/2007,4/16/2007,Nonexempt,"81,944.08",710
4/8/1991,5/1/2023,Exempt,"164,544.82",710
11/7/2005,6/23/2006,Nonexempt,"81,944.08",710
3/9/2024,3/9/2024,Nonexempt,"53,942.20",710
4/25/2020,4/25/2020,Nonexempt,"58,055.80",710
9/24/2014,8/12/2024,Nonexempt,"55,264.33",710
11/18/2023,7/27/2024,Nonexempt,"46,396.37",710
2/11/2008,2/11/2008,Nonexempt,"78,042.19",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
11/5/2022,11/5/2022,Nonexempt,"56,639.48",710
6/20/2023,6/20/2023,Nonexempt,"55,264.33",710
6/5/2021,6/5/2021,Nonexempt,"56,639.48",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
6/3/2023,6/3/2023,Nonexempt,"59,393.47",710
8/8/2005,8/8/2005,Nonexempt,"81,944.08",710
4/6/2024,4/6/2024,Nonexempt,"53,942.20",710
12/5/1994,1/30/2023,Nonexempt,70.52,710
9/21/2024,9/21/2024,Nonexempt,"41,503.00",710
8/3/2019,8/3/2019,Nonexempt,"58,055.80",710
9/5/2000,9/5/2000,Nonexempt,"65,423.01",710
8/18/1997,4/17/2021,Exempt,"109,843.96",710
3/12/2007,3/12/2007,Nonexempt,"78,042.19",710
1/17/2023,1/17/2023,Nonexempt,"55,264.33",710
5/21/2018,5/21/2018,Nonexempt,"58,055.80",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
3/9/2024,3/9/2024,Nonexempt,"53,942.20",710
8/17/2019,6/21/2022,Nonexempt,"58,055.80",710
11/5/2022,11/5/2022,Nonexempt,"56,639.48",710
11/4/2023,11/4/2023,Nonexempt,"55,264.33",710
8/17/2009,7/1/2024,Exempt,"102,061.46",710
7/21/2008,7/21/2008,Nonexempt,"78,042.19",710
9/12/2011,9/12/2011,Nonexempt,"72,513.50",710
4/16/2007,4/16/2007,Nonexempt,"81,944.08",710
12/2/2023,12/2/2023,Nonexempt,"55,264.33",710
8/10/2024,8/10/2024,Nonexempt,"46,396.00",710
6/27/2016,3/9/2024,Nonexempt,"58,055.80",710
4/25/2020,4/25/2020,Nonexempt,"58,055.80",710
6/27/2016,6/27/2016,Nonexempt,"65,731.94",710
2/19/2002,2/19/2002,Nonexempt,"88,192.69",710
8/15/2022,8/15/2022,Nonexempt,"56,639.48",710
7/15/2023,7/15/2023,Nonexempt,"55,264.33",710
12/2/2023,12/2/2023,Nonexempt,"55,264.33",710
10/12/2019,10/12/2019,Nonexempt,"58,055.80",710
7/15/2023,7/15/2023,Nonexempt,"55,264.33",710
1/4/2010,1/4/2010,Nonexempt,"76,138.83",710
6/11/2018,6/11/2018,Nonexempt,"58,055.80",710
3/20/2003,8/3/2019,Exempt,"104,613.08",710
10/28/1996,3/30/1997,Nonexempt,"88,192.69",710
9/12/2011,3/13/2021,Nonexempt,"77,240.54",710
5/23/2022,5/23/2022,Nonexempt,"49,950.90",710
11/26/2012,11/26/2012,Nonexempt,"72,513.50",710
6/21/2022,6/21/2022,Nonexempt,"56,639.48",710
5/15/2006,10/23/2015,Nonexempt,"87,285.80",710
3/23/2024,3/23/2024,Nonexempt,"41,774.67",710
9/14/2019,9/14/2019,Nonexempt,24.53,710
6/1/1992,9/13/2021,Nonexempt,23.81,710
11/19/2022,10/21/2023,Nonexempt,"46,396.37",710
3/26/2004,3/26/2004,Nonexempt,"83,992.99",710
5/11/2020,5/11/2020,Nonexempt,"58,055.80",710
10/23/2004,3/28/2005,Nonexempt,"83,992.99",710
10/15/2018,10/15/2018,Nonexempt,"48,597.29",710
7/5/2022,4/6/2024,Nonexempt,"55,264.33",710
10/8/1999,9/12/2018,Exempt,"147,445.07",710
11/26/2012,11/26/2012,Nonexempt,"72,513.50",710
11/22/2021,11/22/2021,Nonexempt,23.81,710
9/20/2010,9/20/2010,Nonexempt,"76,138.83",710
11/14/2000,3/13/2021,Exempt,"123,595.17",710
7/7/2014,7/7/2014,Nonexempt,"67,375.55",710
10/9/2000,2/16/2019,Exempt,"104,613.08",710
10/4/2010,12/17/2022,Nonexempt,"72,513.50",710
3/9/2024,3/9/2024,Nonexempt,"53,942.20",710
11/7/2005,11/7/2005,Nonexempt,"81,944.08",710
7/1/2023,7/1/2023,Nonexempt,"40,959.61",710
5/16/2007,5/16/2007,Nonexempt,27.55,710
10/23/2007,3/5/2018,Nonexempt,"41,503.50",710
10/9/2000,5/8/2021,Nonexempt,24.53,710
7/28/2003,9/19/2006,Nonexempt,"45,798.70",710
5/11/2015,9/3/2019,Nonexempt,24.53,710
9/25/1997,5/8/2021,Nonexempt,24.53,710
4/13/2019,4/13/2019,Nonexempt,"58,055.80",710
2/20/2002,2/20/2002,Nonexempt,"88,192.69",710
5/17/2007,5/17/2007,Nonexempt,27.55,710
8/3/2019,8/3/2019,Nonexempt,"58,055.80",710
1/4/2010,1/4/2010,Nonexempt,"76,138.83",710
7/15/2023,7/15/2023,Nonexempt,"55,264.33",710
1/4/2010,1/4/2010,Nonexempt,"76,138.83",710
9/23/2004,9/23/2004,Nonexempt,"83,992.99",710
6/3/2023,6/3/2023,Exempt,"58,150.91",710
8/3/2019,8/3/2019,Nonexempt,"58,055.80",710
1/7/2019,10/12/2019,Nonexempt,"58,055.80",710
3/26/2004,12/4/2021,Nonexempt,"93,941.96",710
8/8/2005,8/19/2023,Exempt,"99,572.54",710
1/20/2009,1/16/2021,Nonexempt,"83,129.76",710
11/26/2012,11/26/2012,Nonexempt,"72,513.50",710
4/22/2023,4/22/2023,Nonexempt,"55,264.33",710
5/29/2001,3/9/2024,Nonexempt,33.95,710
12/3/1984,6/19/2021,Nonexempt,33.95,710
3/21/2003,3/21/2003,Nonexempt,"83,992.99",710
6/21/2022,6/21/2022,Nonexempt,"56,639.48",710
4/1/1991,10/8/2015,Exempt,"90,200.25",710
3/25/2013,3/25/2013,Nonexempt,"70,744.49",710
6/21/2022,6/21/2022,Nonexempt,"56,639.48",710
1/7/2019,1/7/2019,Nonexempt,"58,055.80",710
8/10/2024,8/10/2024,Nonexempt,"41,503.00",710
6/5/2021,6/5/2021,Nonexempt,"58,055.80",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
8/3/2019,8/3/2019,Nonexempt,"58,055.80",710
1/26/2015,8/19/2023,Nonexempt,"75,356.22",710
11/7/2005,3/16/2024,Nonexempt,"83,129.76",710
7/24/2009,7/24/2009,Nonexempt,28.1,710
8/17/2009,8/3/2019,Nonexempt,"81,102.12",710
8/10/2024,8/10/2024,Nonexempt,"46,396.00",710
6/6/2022,6/6/2022,Nonexempt,"41,503.50",710
7/8/1994,3/24/2008,Nonexempt,"78,042.19",710
8/18/1997,1/17/2017,Exempt,"112,590.06",710
7/15/2023,7/15/2023,Nonexempt,"55,264.33",710
3/21/2003,3/21/2003,Nonexempt,"83,992.99",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
5/15/2017,5/15/2017,Nonexempt,"64,129.76",710
1/7/2019,1/7/2019,Nonexempt,"58,055.80",710
8/10/2024,8/10/2024,Nonexempt,"46,396.00",710
9/15/2008,9/15/2008,Nonexempt,"78,042.19",710
9/24/2007,9/24/2007,Nonexempt,"78,042.19",710
4/22/2023,4/22/2023,Exempt,"54,601.58",710
5/4/2024,5/4/2024,Nonexempt,"59,393.47",710
8/23/2006,8/23/2006,Nonexempt,"81,944.08",710
10/22/2022,10/22/2022,Nonexempt,"41,503.50",710
1/18/2011,3/16/2024,Nonexempt,"81,102.12",710
8/15/1988,11/15/2006,Nonexempt,"108,787.82",710
6/21/2022,6/21/2022,Nonexempt,"41,503.50",710
9/22/1975,4/8/2023,Nonexempt,33.1,710
2/23/2016,11/27/2017,Nonexempt,"61,082.57",710
2/13/2006,2/13/2006,Nonexempt,"81,944.08",710
5/15/2006,5/15/2006,Nonexempt,"81,944.08",710
8/23/2006,8/23/2006,Nonexempt,"81,944.08",710
8/8/2005,8/8/2005,Nonexempt,"81,944.08",710
7/20/2015,7/20/2015,Nonexempt,"67,375.55",710
1/23/2017,1/23/2017,Nonexempt,"61,082.57",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
7/20/2015,7/20/2015,Nonexempt,"67,375.55",710
1/8/1997,12/14/1998,Nonexempt,"51,979.70",710
12/2/2023,12/2/2023,Nonexempt,"41,774.67",710
9/24/2007,2/16/2019,Nonexempt,"89,467.94",710
8/5/1996,11/13/2009,Nonexempt,"101,105.30",710
1/24/1994,8/4/2008,Nonexempt,"101,105.30",710
10/10/2016,3/28/2020,Nonexempt,"55,264.33",710
8/2/2021,8/2/2021,Nonexempt,"58,055.80",710
8/3/2019,8/3/2019,Nonexempt,"58,055.80",710
7/15/2024,7/15/2024,Nonexempt,"44,785.00",710
8/3/2015,6/27/2016,Nonexempt,"65,731.94",710
1/4/2010,1/4/2010,Nonexempt,"76,138.83",710
2/11/2008,5/24/2019,Nonexempt,"89,467.94",710
11/27/2017,11/27/2017,Nonexempt,"61,082.57",710
4/6/2024,4/6/2024,Nonexempt,"53,942.20",710
6/27/2016,6/27/2016,Nonexempt,"65,731.94",710
11/12/2019,11/12/2019,Nonexempt,24.53,710
8/5/1996,1/10/1997,Nonexempt,"88,192.69",710
9/20/2010,9/20/2010,Nonexempt,"76,138.83",710
11/26/2012,11/26/2012,Nonexempt,"72,513.50",710
3/8/2000,3/8/2000,Nonexempt,"88,192.69",710
10/21/2017,6/6/2022,Nonexempt,"58,055.80",710
9/20/2010,9/20/2010,Nonexempt,"76,138.83",710
8/8/2005,8/8/2005,Nonexempt,"81,944.08",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
10/21/2023,10/21/2023,Nonexempt,"55,264.33",710
9/23/2004,9/23/2004,Nonexempt,"83,992.99",710
7/15/2023,7/15/2024,Nonexempt,"46,396.37",710
10/5/2024,10/5/2024,Nonexempt,19.55,710
1/4/2010,10/24/2020,Nonexempt,"81,102.12",710
5/8/2003,1/11/2016,Nonexempt,"65,731.94",710
1/26/2015,1/26/2015,Nonexempt,"67,375.55",710
9/15/2008,3/16/2024,Exempt,"92,517.80",710
2/7/2000,10/29/2010,Nonexempt,"101,105.30",710
7/1/2024,7/1/2024,Nonexempt,"46,396.37",710
9/13/2021,9/13/2021,Nonexempt,23.81,710
7/7/2014,3/16/2024,Nonexempt,"71,775.52",710
7/15/2023,7/15/2023,Nonexempt,"55,264.33",710
7/15/1985,9/12/2022,Nonexempt,33.1,710
10/4/1976,2/11/2023,Nonexempt,33.1,710
6/5/2021,6/5/2021,Nonexempt,"58,055.80",710
4/13/2019,10/28/2023,Nonexempt,"58,055.80",710
7/1/2023,7/1/2023,Nonexempt,"40,960.12",710
7/1/1970,7/1/2024,Nonexempt,31.98,710
4/25/2022,6/15/2024,Nonexempt,"46,396.37",710
6/22/2022,6/22/2022,Nonexempt,"56,639.48",710
3/25/2023,3/25/2023,Nonexempt,33.95,710
7/11/2005,12/16/2017,Nonexempt,"64,129.76",710
7/1/2023,7/1/2023,Nonexempt,21.6,710
6/8/1992,12/5/2005,Nonexempt,"76,138.83",710
2/20/2017,2/26/2024,Nonexempt,"61,082.57",710
2/23/1998,4/24/2017,Nonexempt,"64,129.76",710
8/29/2011,8/29/2011,Nonexempt,"72,513.50",710
9/5/2002,11/23/2019,Nonexempt,"64,129.76",710
1/7/2019,1/7/2019,Nonexempt,"58,055.80",710
11/13/2000,3/13/2021,Exempt,"133,689.69",710
8/8/2005,8/8/2005,Nonexempt,"83,992.99",710
8/4/2014,9/4/2018,Nonexempt,"45,655.81",710
8/3/2019,8/3/2019,Nonexempt,"58,055.80",710
3/13/1996,2/15/2012,Nonexempt,"53,246.40",710
5/20/2023,5/20/2023,Nonexempt,"41,503.50",710
10/23/2006,10/23/2006,Nonexempt,"81,944.08",710
4/6/2024,4/6/2024,Nonexempt,"53,942.20",710
5/8/2021,8/26/2024,Nonexempt,"53,942.20",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
6/11/2018,6/11/2018,Nonexempt,"58,055.80",710
10/8/2022,10/8/2022,Nonexempt,"56,639.48",710
1/26/2015,1/26/2015,Nonexempt,"67,375.55",710
8/17/2009,3/1/2013,Nonexempt,"76,138.83",710
7/15/2023,7/15/2023,Nonexempt,"55,264.33",710
4/11/2022,4/11/2022,Nonexempt,"56,639.48",710
1/23/2017,1/23/2017,Nonexempt,"61,082.57",710
5/23/2006,2/25/2008,Nonexempt,"78,042.19",710
3/28/2005,3/28/2005,Nonexempt,"83,992.99",710
2/13/2006,1/15/2022,Nonexempt,"93,941.96",710
4/25/2020,4/25/2020,Nonexempt,"58,055.80",710
10/2/2000,9/3/2002,Nonexempt,"83,992.99",710
1/17/2023,1/17/2023,Nonexempt,"55,264.33",710
7/19/1999,9/23/1999,Nonexempt,"88,192.69",710
3/28/2005,2/16/2019,Nonexempt,"96,289.81",710
9/3/2002,8/19/2023,Nonexempt,"89,467.94",710
10/5/2024,10/5/2024,Nonexempt,"41,775.00",710
2/6/2017,10/8/2018,Exempt,"56,206.54",710
1/24/1996,5/15/1996,Exempt,"74,629.67",710
1/7/2019,1/7/2019,Nonexempt,"58,055.80",710
3/28/2005,3/28/2005,Nonexempt,"83,992.99",710
6/21/2022,6/21/2022,Nonexempt,"56,639.48",710
12/2/2023,8/10/2024,Nonexempt,"46,396.00",710
9/20/2010,9/20/2010,Nonexempt,"76,138.83",710
6/21/2022,6/21/2022,Nonexempt,"56,639.48",710
7/9/2012,7/9/2012,Nonexempt,"72,513.50",710
11/8/2016,11/8/2016,Nonexempt,"41,774.67",710
9/12/2022,9/12/2022,Nonexempt,"41,503.50",710
2/10/1997,2/10/1997,Nonexempt,"83,992.99",710
8/6/2001,7/29/2023,Nonexempt,"70,609.02",710
2/13/2006,2/13/2006,Nonexempt,"81,944.08",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
1/13/1998,2/23/2001,Nonexempt,"88,192.69",710
3/23/2024,3/23/2024,Nonexempt,"41,503.50",710
10/21/2023,10/21/2023,Nonexempt,"55,264.33",710
8/8/2005,8/8/2005,Nonexempt,"81,944.08",710
1/29/2003,1/29/2003,Nonexempt,"42,244.53",710
1/23/2017,1/23/2017,Nonexempt,"61,082.57",710
8/2/2021,8/2/2021,Nonexempt,"58,055.80",710
8/12/2023,8/12/2023,Exempt,"54,601.43",710
10/18/2004,4/13/2019,Nonexempt,"56,639.48",710
9/23/2004,9/23/2004,Nonexempt,"83,992.99",710
4/25/2020,4/25/2020,Nonexempt,"58,055.80",710
8/29/2022,8/29/2022,Nonexempt,"56,639.48",710
6/15/2024,6/15/2024,Nonexempt,"46,396.37",710
10/4/2000,10/4/2000,Nonexempt,"88,192.69",710
11/30/1999,11/30/1999,Nonexempt,30.99,710
7/9/2012,7/9/2012,Nonexempt,"72,513.50",710
11/7/2005,3/31/2008,Nonexempt,"81,944.08",710
1/28/2023,1/28/2023,Nonexempt,"55,264.33",710
12/2/2023,12/2/2023,Nonexempt,"55,264.33",710
12/11/2017,12/11/2017,Nonexempt,"61,082.57",710
10/4/2010,10/4/2010,Nonexempt,"76,138.83",710
8/15/2022,8/15/2022,Nonexempt,"41,503.50",710
2/18/2020,9/10/2022,Exempt,"51,246.99",710
9/21/2024,9/21/2024,Nonexempt,31.98,710
12/3/1984,1/17/2023,Nonexempt,33.1,710
1/17/2023,1/17/2023,Nonexempt,33.1,710
8/8/1998,1/28/2023,Nonexempt,33.1,710
1/11/2016,1/11/2016,Nonexempt,"65,731.94",710
11/26/2012,1/16/2021,Nonexempt,"77,240.54",710
9/3/2004,9/3/2004,Nonexempt,27.55,710
6/16/2004,6/8/2016,Nonexempt,24.53,710
10/28/1996,3/20/2003,Nonexempt,"83,992.99",710
2/28/2000,2/16/2019,Nonexempt,"103,632.94",710
6/21/2022,6/21/2022,Nonexempt,"56,639.48",710
7/20/2015,7/20/2015,Nonexempt,"67,375.55",710
9/26/2003,9/26/2003,Nonexempt,"83,992.99",710
12/20/2004,12/20/2004,Nonexempt,"63,151.04",710
9/26/2003,9/26/2003,Nonexempt,"83,992.99",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
12/8/2016,7/18/2022,Exempt,"54,601.58",710
5/21/2018,5/21/2018,Nonexempt,"58,055.80",710
1/27/2024,1/27/2024,Nonexempt,"41,774.67",710
5/24/2010,7/30/2024,Nonexempt,"48,907.00",710
3/25/2015,6/3/2024,Exempt,"72,160.20",710
10/16/2000,10/16/2000,Nonexempt,"88,192.69",710
10/13/2000,3/24/2008,Nonexempt,"78,042.19",710
1/12/1998,1/12/1998,Nonexempt,"88,192.69",710
3/9/2024,3/9/2024,Nonexempt,"41,774.67",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
2/25/2023,2/25/2023,Nonexempt,"55,264.33",710
7/19/1999,7/19/1999,Nonexempt,"88,192.69",710
1/7/2002,1/7/2002,Nonexempt,30.99,710
6/18/2018,6/18/2018,Nonexempt,"58,055.80",710
5/8/2021,5/8/2021,Nonexempt,24.53,710
11/5/2022,11/5/2022,Nonexempt,"56,639.48",710
10/21/2023,10/21/2023,Nonexempt,"55,264.33",710
7/15/2023,3/9/2024,Nonexempt,"44,505.00",710
5/18/2024,5/18/2024,Nonexempt,"47,533.08",710
8/19/1996,9/23/1999,Nonexempt,"51,256.56",710
8/17/2009,8/19/2023,Nonexempt,"81,102.12",710
1/3/2023,1/3/2023,Nonexempt,22.68,710
9/4/2018,7/17/2021,Nonexempt,33.95,710
9/23/2014,9/13/2021,Nonexempt,33.95,710
3/14/2003,3/16/2024,Nonexempt,"89,467.94",710
9/27/2010,9/27/2010,Nonexempt,"76,138.83",710
9/14/2019,9/14/2019,Exempt,"62,057.57",710
7/15/2013,9/3/2024,Exempt,"94,478.94",710
2/1/1993,12/20/2021,Nonexempt,33.95,710
9/30/2013,9/9/2023,Nonexempt,33.1,710
3/25/2013,3/25/2013,Nonexempt,"70,744.49",710
1/11/2016,1/11/2016,Nonexempt,"65,731.94",710
7/9/2012,11/13/2017,Nonexempt,"67,375.55",710
1/27/2024,1/27/2024,Nonexempt,"41,774.67",710
8/17/2019,9/9/2023,Nonexempt,23.36,710
9/3/2002,9/3/2002,Nonexempt,"83,992.99",710
4/22/2023,4/22/2023,Nonexempt,"47,533.08",710
3/23/1999,6/30/2008,Nonexempt,"78,042.19",710
1/17/1977,5/15/1996,Nonexempt,34.44,710
4/24/2017,5/20/2023,Nonexempt,"61,082.57",710
9/2/2004,3/9/2024,Nonexempt,23.35,710
8/16/1986,5/15/1996,Nonexempt,35.14,710
9/23/2004,12/1/2019,Exempt,"104,613.08",710
10/8/2022,10/8/2022,Nonexempt,"41,503.50",710
9/23/2004,3/21/2005,Nonexempt,"83,992.99",710
6/1/1999,3/13/2021,Exempt,"124,100.64",710
1/23/2017,1/23/2017,Nonexempt,"61,082.57",710
11/7/2005,10/24/2020,Exempt,"102,061.46",710
6/26/2006,5/7/2007,Nonexempt,"41,503.50",710
9/11/2000,9/11/2000,Nonexempt,"88,192.69",710
5/15/2017,5/15/2017,Nonexempt,"61,082.57",710
1/24/2005,3/1/2021,Exempt,"53,183.48",710
9/24/2007,9/24/2007,Nonexempt,"78,042.19",710
6/1/2024,6/1/2024,Nonexempt,21.6,710
5/11/2015,11/8/2021,Nonexempt,"65,731.94",710
1/4/2010,1/4/2010,Nonexempt,"76,138.83",710
1/11/2016,1/11/2016,Nonexempt,"65,731.94",710
9/30/2013,7/18/2020,Nonexempt,"75,356.22",710
9/30/2013,10/5/2024,Nonexempt,"75,356.22",710
1/11/2016,1/11/2016,Nonexempt,"65,731.94",710
2/6/2012,11/4/2021,Nonexempt,"83,129.76",710
3/3/1986,12/17/2022,Nonexempt,33.1,710
8/10/2024,8/10/2024,Nonexempt,"46,396.00",710
1/4/2021,1/4/2021,Nonexempt,"58,055.80",710
10/12/2019,10/12/2019,Nonexempt,"58,055.80",710
3/5/2007,3/5/2007,Nonexempt,"81,944.08",710
10/5/2024,10/5/2024,Nonexempt,"41,775.00",710
12/7/2015,4/30/2018,Exempt,"61,065.80",710
10/18/2004,10/18/2004,Nonexempt,"60,787.93",710
11/21/1989,10/8/2022,Exempt,"61,892.59",710
3/25/2013,2/10/2024,Exempt,"64,296.27",710
7/9/2012,1/4/2021,Nonexempt,"67,375.55",710
9/30/2013,9/30/2013,Nonexempt,"70,744.49",710
6/23/2008,6/23/2008,Nonexempt,"78,042.19",710
9/30/2013,9/30/2013,Nonexempt,"70,744.49",710
5/10/2013,5/29/2018,Nonexempt,"41,503.50",710
6/5/2021,6/5/2021,Nonexempt,"58,055.80",710
6/25/2007,10/11/2021,Nonexempt,"47,958.76",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
4/22/2008,9/8/2015,Exempt,"78,025.01",710
3/5/2007,3/5/2007,Nonexempt,"41,503.50",710
7/1/2003,2/16/2019,Nonexempt,"56,639.48",710
8/18/2008,2/16/2019,Nonexempt,"83,129.76",710
2/24/2024,2/24/2024,Nonexempt,"41,503.50",710
10/4/2010,8/12/2024,Nonexempt,"53,942.20",710
3/20/2003,3/13/2021,Exempt,"102,061.46",710
9/23/2004,9/23/2004,Nonexempt,"83,992.99",710
7/19/1999,2/23/2001,Nonexempt,"88,192.69",710
1/26/2015,1/26/2015,Nonexempt,"67,375.55",710
8/23/2006,8/23/2006,Nonexempt,"81,944.08",710
5/23/2001,10/23/2015,Exempt,"112,590.06",710
1/11/2016,1/11/2016,Nonexempt,"65,731.94",710
2/18/2014,2/1/2024,Nonexempt,25.86,710
7/5/2022,6/1/2024,Nonexempt,22.77,710
7/24/2009,7/24/2009,Nonexempt,28.1,710
4/15/2013,1/8/2018,Nonexempt,"46,937.12",710
7/7/2014,7/7/2014,Nonexempt,"67,375.55",710
8/9/1999,8/26/2001,Nonexempt,"50,331.28",710
6/21/2017,12/2/2023,Nonexempt,"55,264.33",710
9/8/2008,9/8/2008,Nonexempt,"78,042.19",710
5/15/2006,5/15/2006,Nonexempt,"81,944.08",710
8/12/2023,8/12/2023,Nonexempt,"41,774.67",710
9/14/2019,9/14/2019,Nonexempt,24.53,710
4/6/2024,4/6/2024,Nonexempt,"41,774.67",710
3/23/1998,9/19/2014,Exempt,"117,417.90",710
3/26/2004,3/26/2004,Nonexempt,"83,992.99",710
9/14/2019,8/30/2021,Exempt,"59,085.32",710
9/24/2022,9/24/2022,Nonexempt,33.1,710
11/23/1994,12/11/2000,Exempt,"91,420.42",710
1/11/1994,4/22/2024,Nonexempt,33.1,710
2/20/2002,1/22/2008,Nonexempt,"83,992.99",710
4/25/2020,4/25/2020,Nonexempt,"58,055.80",710
7/27/2024,7/27/2024,Nonexempt,"46,396.00",710
10/23/2006,10/23/2006,Nonexempt,"81,944.08",710
2/14/2000,3/13/2021,Exempt,"123,595.17",710
5/6/1996,7/7/2017,Exempt,"133,019.30",710
1/3/2023,1/3/2023,Nonexempt,"41,503.50",710
1/4/2021,1/4/2021,Nonexempt,"58,055.80",710
10/30/2006,11/9/2015,Exempt,"58,783.67",710
8/5/1996,1/10/1997,Nonexempt,"88,192.69",710
2/10/2024,2/10/2024,Nonexempt,"41,774.67",710
5/8/2021,5/8/2021,Nonexempt,"41,774.67",710
7/1/2024,7/1/2024,Nonexempt,"41,503.00",710
8/15/1987,5/15/1996,Nonexempt,"47,796.75",710
10/28/1996,6/9/2008,Nonexempt,"78,042.19",710
7/24/2006,4/23/2022,Exempt,"66,187.64",710
5/25/1983,5/15/1996,Nonexempt,"69,384.27",710
2/12/1996,3/30/1997,Nonexempt,"83,992.99",710
4/16/2007,4/16/2007,Nonexempt,"81,944.08",710
1/17/2023,1/17/2023,Nonexempt,"41,774.67",710
9/7/2024,9/7/2024,Exempt,"55,686.00",710
